source,destination
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/impl-std-md-js/impl-std-metadata-js.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/impl-std-md-js/impl-std-metadata-js.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/impl-std-md-js/impl-std-metadata-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/impl-std-md-js/impl-std-metadata-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-chromecast.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/impl-std-metadata-chromecast.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/chromecast-metadata.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/chromecast-metadata.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/impl-std-metadata-roku.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/roku-metadata.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/roku-metadata.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-overview.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-overview.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-android.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-android.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-ios.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-ios.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-js/track-ads-js.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-js/track-ads-js.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-js/track-ads-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-js/track-ads-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-chromecast.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-chromecast.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/track-ads-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/track-ads-roku.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-android.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-android.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-ios.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-ios.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-md-js/impl-std-ad-metadata-js.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/impl-std-ad-metadata/impl-std-ad-md-js/impl-std-ad-metadata-js.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-md-js/impl-std-ad-metadata-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/impl-std-ad-metadata/impl-std-ad-md-js/impl-std-ad-metadata-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-ads/impl-std-ad-metadata/impl-std-ad-metadata-roku.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-overview.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-overview.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-android.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-android.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-ios.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-ios.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-js/track-chapters-js.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-js/track-chapters-js.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-js/track-chapters-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-js/track-chapters-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-chromecast.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-chromecast.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-chapters/track-chapters-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-chapters/track-chapters-roku.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-overview.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-overview.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-android.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-android.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-ios.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-ios.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-js/track-qos-js.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-js/track-qos-js.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-js/track-qos-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-js/track-qos-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-chromecast.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-chromecast.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-qos/track-qos-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-qos/track-qos-roku.html
